date,game,bet,grade,units,result,profit_loss
2026-02-27,Cleveland Cavaliers @ Detroit Pistons,Cavaliers +6.0,C,0,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,Nets +17.5,C,0,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,OVER 207.5,C,0,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,Bucks +8.5,C,0,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,OVER 219.5,C,0,pending,0
2026-02-27,Denver Nuggets @ Oklahoma City Thunder,UNDER 233.5,C,0,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,OVER 207.5,B,0.5,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,Bucks +8.5,B,0.5,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,OVER 219.5,B,0.5,pending,0
2026-02-27,Denver Nuggets @ Oklahoma City Thunder,UNDER 233.5,B,0.5,pending,0
2026-02-27,Cleveland Cavaliers @ Detroit Pistons,Cavaliers +6.0,C,0,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,Nets +17.5,C,0,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,OVER 207.5,B,0.5,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,Bucks +8.5,B,0.5,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,OVER 219.5,B,0.5,pending,0
2026-02-27,Denver Nuggets @ Oklahoma City Thunder,UNDER 233.5,B,0.5,pending,0
2026-02-27,Cleveland Cavaliers @ Detroit Pistons,Cavaliers +6.0,C,0,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,Nets +17.5,C,0,pending,0
2026-02-27,Memphis Grizzlies @ Dallas Mavericks,Taylor Hendricks 3PTM OVER 0.5,B,0.5,pending,0
2026-02-27,Denver Nuggets @ Oklahoma City Thunder,Isaiah Joe 3PTM OVER 1.5,B,0.5,pending,0
2026-02-27,Memphis Grizzlies @ Dallas Mavericks,Daniel Gafford AST OVER 0.5,B,0.5,pending,0
2026-02-27,Denver Nuggets @ Oklahoma City Thunder,Isaiah Joe PTS OVER 7.5,B,0.5,pending,0
2026-02-27,New York Knicks @ Milwaukee Bucks,Myles Turner AST OVER 0.5,B,0.5,pending,0
2026-02-27,Denver Nuggets @ Oklahoma City Thunder,Bruce Brown 3PTM OVER 0.5,B,0.5,pending,0
2026-02-27,Brooklyn Nets @ Boston Celtics,Nicolas Claxton PTS OVER 7.5,B,0.5,pending,0
