date,player,market,line,projection,edge_pct,bet,confidence,role,game,odds,stake,result,profit
2026-02-26,Coby White,REB,1.5,4.4,192.0,OVER,,Rotation,Charlotte Hornets @ Indiana Pacers,-110,1,Pending,0
2026-02-26,Justin Champagnie,AST,0.5,1.1,124.8,OVER,,Rotation,Washington Wizards @ Atlanta Hawks,-110,1,Pending,0
2026-02-26,Davion Mitchell,REB,1.5,3.0,98.8,OVER,,Starter,Miami Heat @ Philadelphia 76ers,-110,1,Pending,0
2026-02-26,Tyler Herro,AST,2.5,4.8,92.4,OVER,,Rotation,Miami Heat @ Philadelphia 76ers,-110,1,Pending,0
2026-02-26,Stephon Castle,REB,3.5,6.5,86.7,OVER,,Starter,San Antonio Spurs @ Brooklyn Nets,-110,1,Pending,0
2026-02-26,Saddiq Bey,AST,1.5,2.8,85.4,OVER,,Starter,New Orleans Pelicans @ Utah Jazz,-110,1,Pending,0
2026-02-26,Marcus Smart,AST,1.5,2.7,82.5,OVER,,Rotation,Los Angeles Lakers @ Phoenix Suns,-110,1,Pending,0
2026-02-26,Nicolas Claxton,PTS,8.5,15.4,81.7,OVER,,Starter,San Antonio Spurs @ Brooklyn Nets,-110,1,Pending,0
2026-02-26,Austin Reaves,AST,2.5,4.4,75.4,OVER,,Rotation,Los Angeles Lakers @ Phoenix Suns,-110,1,Pending,0
2026-02-26,Mouhamed Gueye,AST,1.5,0.4,73.2,UNDER,,Rotation,Washington Wizards @ Atlanta Hawks,-110,1,Pending,0
