date,game,market,pick,line,projection_for,projection,edge,odds,stake,result,profit
2026-02-26,Charlotte Hornets @ Indiana Pacers,SPREAD,Cha @ Ind (Charlotte Hornets -13.0),-13.0,Charlotte Hornets,-8.9,21.9,-110,1,Pending,0
2026-02-26,Miami Heat @ Philadelphia 76ers,SPREAD,Mia @ Phi (Philadelphia 76ers -2.5),-2.5,Philadelphia 76ers,2.1,4.6,-112,1,Pending,0
2026-02-26,Miami Heat @ Philadelphia 76ers,TOTAL,Mia @ Phi UNDER 239.5,239.5,Total,232.1,7.4,-112,1,Pending,0
2026-02-26,Washington Wizards @ Atlanta Hawks,SPREAD,Was @ Atl (Atlanta Hawks -11.0),-11.0,Atlanta Hawks,4.8,15.8,-112,1,Pending,0
2026-02-26,San Antonio Spurs @ Brooklyn Nets,SPREAD,San @ Bro (San Antonio Spurs -12.5),-12.5,San Antonio Spurs,-13.0,25.5,-106,1,Pending,0
2026-02-26,Houston Rockets @ Orlando Magic,TOTAL,Hou @ Orl OVER 215.5,215.5,Total,220.0,4.5,-110,1,Pending,0
2026-02-26,Portland Trail Blazers @ Chicago Bulls,SPREAD,Por @ Chi (Portland Trail Blazers -4.5),-4.5,Portland Trail Blazers,-5.6,10.1,-106,1,Pending,0
2026-02-26,Sacramento Kings @ Dallas Mavericks,SPREAD,Sac @ Dal (Dallas Mavericks -7.0),-7.0,Dallas Mavericks,6.0,13.0,-110,1,Pending,0
2026-02-26,Los Angeles Lakers @ Phoenix Suns,SPREAD,Los @ Pho (Los Angeles Lakers -5.5),-5.5,Los Angeles Lakers,-1.0,6.5,-110,1,Pending,0
2026-02-26,Los Angeles Lakers @ Phoenix Suns,TOTAL,Los @ Pho OVER 220.5,220.5,Total,225.0,4.5,-108,1,Pending,0
2026-02-26,New Orleans Pelicans @ Utah Jazz,SPREAD,New @ Uta (New Orleans Pelicans -5.5),-5.5,New Orleans Pelicans,-2.3,7.8,-114,1,Pending,0
2026-02-26,New Orleans Pelicans @ Utah Jazz,TOTAL,New @ Uta UNDER 241.5,241.5,Total,231.3,10.2,-112,1,Pending,0
