date,player,market,line,book,projection,edge_pct,bet,confidence,role,game,odds,stake,result,profit
2026-03-02,Amen Thompson,3PTM,0.5,BetMGM,0.1,76.4,UNDER,,Starter,Houston Rockets @ Washington Wizards,3.3,1,Pending,0
2026-03-02,Brandon Ingram,3PTM,1.5,FanDuel,2.6,74.6,OVER,,Starter,New York Knicks @ Toronto Raptors,2.02,1,Pending,0
2026-03-02,Bruce Brown,3PTM,0.5,BetOnline.ag,0.9,72.8,OVER,,Rotation,Denver Nuggets @ Utah Jazz,1.77,1,Pending,0
2026-03-02,Kevin Porter Jr.,3PTM,1.5,FanDuel,0.7,55.8,UNDER,,Starter,Boston Celtics @ Milwaukee Bucks,2.62,1,Pending,0
2026-03-02,Sam Hauser,PTS,13.5,Bovada,6.6,51.4,UNDER,,Rotation,Boston Celtics @ Milwaukee Bucks,2.8,1,Pending,0
2026-03-02,Clint Capela,REB,5.5,FanDuel,2.8,48.6,UNDER,,Rotation,Houston Rockets @ Washington Wizards,2.1,1,Pending,0
2026-03-02,Isaiah Collier,REB,3.5,Bovada,1.8,47.9,UNDER,,Starter,Denver Nuggets @ Utah Jazz,2.35,1,Pending,0
2026-03-02,Baylor Scheierman,PTS,10.5,Bovada,5.6,46.9,UNDER,,Rotation,Boston Celtics @ Milwaukee Bucks,2.85,1,Pending,0
2026-03-02,Keyonte George,REB,2.5,FanDuel,3.7,46.8,OVER,,Starter,Denver Nuggets @ Utah Jazz,1.83,1,Pending,0
2026-03-02,Cody Williams,PTS,9.5,Bovada,5.1,46.2,UNDER,,Rotation,Denver Nuggets @ Utah Jazz,3.0,1,Pending,0
