date,player,market,line,book,projection,prob,ev,bet,role,game,odds,stake,result,profit,injury,edge_pct,grade,legacy
2026-03-07,Jaylen Wells,PTS,13.5,BetRivers,19.2,0.88,0.876,OVER,Starter,Los Angeles Clippers @ Memphis Grizzlies,2.12,1.00,Loss,-1.0,,40.8,A,false
2026-03-07,Giannis Antetokounmpo,PTS,25.5,BetRivers,21.1,0.89,0.85,UNDER,Rotation,Utah Jazz @ Milwaukee Bucks,2.08,1.00,Loss,-1.0,,40.9,A,false
2026-03-07,Giannis Antetokounmpo,PTS,26.5,BetRivers,21.1,0.93,0.745,UNDER,Rotation,Utah Jazz @ Milwaukee Bucks,1.87,1.00,Loss,-1.0,,39.5,A,false
2026-03-07,Jaylen Wells,PTS,12.5,DraftKings,19.2,0.92,0.694,OVER,Starter,Los Angeles Clippers @ Memphis Grizzlies,1.84,1.00,Loss,-1.0,,37.7,A,false
2026-03-07,A.J. Green,3PTM,2.5,BetOnline.ag,1.4,0.77,0.607,UNDER,Rotation,Utah Jazz @ Milwaukee Bucks,2.1,1.00,Win,1.1,,29.4,A,false
2026-03-07,Darius Garland,AST,5.5,BetRivers,6.8,0.74,0.529,OVER,Starter,Los Angeles Clippers @ Memphis Grizzlies,2.06,1.00,Win,1.06,,25.5,A,false
2026-03-07,Jock Landale,REB,3.5,BetOnline.ag,5.8,0.87,0.507,OVER,Rotation,Philadelphia 76ers @ Atlanta Hawks,1.74,1.00,Loss,-1.0,,29.5,A,false
2026-03-07,Tobias Harris,REB,4.5,BetOnline.ag,6.6,0.79,0.426,OVER,Starter,Brooklyn Nets @ Detroit Pistons,1.81,0.50,Win,0.41,,23.8,B,false
2026-03-07,Jaylin Williams,AST,3.5,BetOnline.ag,2.5,0.68,0.42,UNDER,Rotation,Golden State Warriors @ Oklahoma City Thunder,2.09,0.50,Loss,-0.5,,20.2,B,false
2026-03-07,Pat Spencer,REB,2.5,BetRivers,1.7,0.7,0.405,UNDER,Rotation,Golden State Warriors @ Oklahoma City Thunder,2.0,0.50,Win,0.5,,20.0,B,false
