date,player,market,line,book,projection,prob,ev,bet,role,game,odds,stake,result,profit,injury
2026-03-08,Jayson Tatum,REB,7.5,Bovada,10.7,0.88,0.971,OVER,Starter,Boston Celtics @ Cleveland Cavaliers,2.25,0.25,Pending,0,
2026-03-08,Bam Adebayo,AST,2.5,Bovada,3.7,0.83,0.7,OVER,Starter,Detroit Pistons @ Miami Heat,2.05,0.25,Pending,0,
2026-03-08,Coby White,PTS,12.5,BetMGM,17.2,0.87,0.69,OVER,Rotation,Charlotte Hornets @ Phoenix Suns,1.95,0.25,Pending,0,
2026-03-08,Jalen Suggs,REB,3.5,BetMGM,2.7,0.79,0.688,UNDER,Starter,Orlando Magic @ Milwaukee Bucks,2.15,0.25,Pending,0,
2026-03-08,Marvin Bagley III,PTS,9.5,BetOnline.ag,16.2,0.88,0.686,OVER,Rotation,Dallas Mavericks @ Toronto Raptors,1.91,0.25,Pending,0,
2026-03-08,Jayson Tatum,REB,6.5,BetOnline.ag,10.7,0.94,0.683,OVER,Starter,Boston Celtics @ Cleveland Cavaliers,1.8,0.25,Pending,0,
2026-03-08,Kon Knueppel,PTS,18.5,BetOnline.ag,26.9,0.87,0.679,OVER,Starter,Charlotte Hornets @ Phoenix Suns,1.92,0.25,Pending,0,
2026-03-08,Nique Clifford,PTS,12.5,BetRivers,6.9,0.8,0.667,UNDER,Rotation,Chicago Bulls @ Sacramento Kings,2.08,0.25,Pending,0,
2026-03-08,Coby White,REB,2.5,DraftKings,4.0,0.71,0.577,OVER,Rotation,Charlotte Hornets @ Phoenix Suns,2.21,0.25,Pending,0,
2026-03-08,Devin Vassell,3PTM,2.5,FanDuel,3.5,0.69,0.551,OVER,Starter,Houston Rockets @ San Antonio Spurs,2.26,0.25,Pending,0,
