date,game,pick,book,council_score,grade,units,result,profit
2026-03-30,Cleveland Cavaliers @ Utah Jazz,Dennis Schroder UNDER 9.5 PTS,DraftKings,0.3939,PASS,0.0,Pending,0
2026-03-30,Washington Wizards @ Los Angeles Lakers,Austin Reaves UNDER 28.5 PTS,BetRivers,0.3888,PASS,0.0,Pending,0
2026-03-30,Washington Wizards @ Los Angeles Lakers,Austin Reaves UNDER 6.5 AST,BetRivers,0.3888,PASS,0.0,Pending,0
2026-03-30,Washington Wizards @ Los Angeles Lakers,Luke Kennard UNDER 10.5 PTS,BetRivers,0.3186,PASS,0.0,Pending,0
2026-03-30,Washington Wizards @ Los Angeles Lakers,Rui Hachimura UNDER 12.5 PTS,DraftKings,0.2994,PASS,0.0,Pending,0
2026-03-30,Cleveland Cavaliers @ Utah Jazz,Sam Merrill OVER 2.5 AST,DraftKings,0.2339,PASS,0.0,Pending,0
2026-03-30,Boston Celtics @ Atlanta Hawks,Zaccharie Risacher OVER 2.5 REB,BetOnline.ag,0.1395,PASS,0.0,Pending,0
2026-03-30,Boston Celtics @ Atlanta Hawks,Jaylen Brown OVER 5.5 AST,DraftKings,0.1266,PASS,0.0,Pending,0
2026-03-30,Philadelphia 76ers @ Miami Heat,Dominick Barlow OVER 3.5 REB,BetRivers,0.1266,PASS,0.0,Pending,0
2026-03-30,Detroit Pistons @ Oklahoma City Thunder,Daniss Jenkins OVER 6.5 AST,Bovada,0.0000,PASS,0.0,Pending,0
