date,game,pick,book,council_score,grade,units,result,profit
2026-03-30,Minnesota Timberwolves @ Dallas Mavericks,OVER 236.0,FanDuel,0.7238,B,0.5,Pending,0
2026-03-30,Chicago Bulls @ San Antonio Spurs,Bulls +18.5,DraftKings,0.5345,PASS,0.0,Pending,0
2026-03-30,Phoenix Suns @ Memphis Grizzlies,Grizzlies +12.5,Caesars,0.5345,PASS,0.0,Pending,0
2026-03-30,Cleveland Cavaliers @ Utah Jazz,Jazz +17.0,Fanatics,0.5345,PASS,0.0,Pending,0
2026-03-30,Philadelphia 76ers @ Miami Heat,UNDER 246.5,Caesars,0.4810,PASS,0.0,Pending,0
2026-03-30,Detroit Pistons @ Oklahoma City Thunder,OVER 218.0,FanDuel,0.4810,PASS,0.0,Pending,0
2026-03-30,Minnesota Timberwolves @ Dallas Mavericks,Mavericks +7.0,FanDuel,0.4284,PASS,0.0,Pending,0
2026-03-30,Phoenix Suns @ Memphis Grizzlies,OVER 229.5,Caesars,0.4198,PASS,0.0,Pending,0
2026-03-30,Detroit Pistons @ Oklahoma City Thunder,Pistons +12.0,FanDuel,0.2718,PASS,0.0,Pending,0
2026-03-30,Chicago Bulls @ San Antonio Spurs,OVER 244.5,DraftKings,0.2254,PASS,0.0,Pending,0
2026-03-30,Cleveland Cavaliers @ Utah Jazz,UNDER 242.5,Fanatics,0.2254,PASS,0.0,Pending,0
2026-03-30,Boston Celtics @ Atlanta Hawks,Celtics +1.5,BetUS,0.1839,PASS,0.0,Pending,0
2026-03-30,Philadelphia 76ers @ Miami Heat,76ers -2.0,Caesars,0.1744,PASS,0.0,Pending,0
2026-03-30,Washington Wizards @ Los Angeles Lakers,OVER 236.0,Bovada,0.1507,PASS,0.0,Pending,0
2026-03-30,Washington Wizards @ Los Angeles Lakers,Wizards +16.0,Bovada,-0.0671,PASS,0.0,Pending,0
