date,pick,game,book,council_score,grade,stake
2026-04-30,Nikola Jokic UNDER 1.5 3PTM,DEN @ MIN,BetMGM,0.7627,A,1.0
2026-04-30,Jayson Tatum UNDER 25.5 PTS,BOS @ PHI,BetMGM,0.754,A,1.0
2026-04-30,OVER 224.5,DEN @ MIN,Caesars,0.7238,B,0.5
2026-04-30,Tyrese Maxey UNDER 6.5 AST,BOS @ PHI,BetOnline.ag,0.6304,C,0.0
2026-04-30,Bruce Brown OVER 6.5 PTS,DEN @ MIN,FanDuel,0.5771,C,0.0
2026-04-30,Neemias Queta OVER 8.5 PTS,BOS @ PHI,DraftKings,0.5771,C,0.0
2026-04-30,Jonathan Kuminga UNDER 4.5 REB,NYK @ ATL,FanDuel,0.5771,C,0.0
2026-04-30,Joel Embiid OVER 27.5 PTS,BOS @ PHI,BetMGM,0.566,C,0.0
2026-04-30,Kelly Oubre Jr OVER 4.5 REB,BOS @ PHI,Bovada,0.5612,C,0.0
2026-04-30,Hawks +2.5,NYK @ ATL,FanDuel,0.4403,PASS,0.0
2026-04-30,Mike Conley UNDER 3.5 AST,DEN @ MIN,FanDuel,0.4321,PASS,0.0
2026-04-30,Quentin Grimes OVER 2.5 REB,BOS @ PHI,BetRivers,0.4321,PASS,0.0
2026-04-30,76ers +6.5,BOS @ PHI,BetMGM,0.4284,PASS,0.0
2026-04-30,Timberwolves +6.5,DEN @ MIN,Caesars,0.4284,PASS,0.0
2026-04-30,OVER 214.5,NYK @ ATL,FanDuel,0.4198,PASS,0.0
