date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-03-14,Precious Achiuwa,REB,6.5,Caesars,8.4,0.81,0.766,35.2,OVER,Rotation,Sacramento Kings @ Los Angeles Clippers,2.18,0.5,Pending,0,,B,,,,
2026-03-14,Giannis Antetokounmpo,PTS,26.5,BetRivers,23.1,0.81,0.748,34.6,UNDER,Starter,Milwaukee Bucks @ Atlanta Hawks,2.16,0.5,Pending,0,,B,,,,
2026-03-14,Jaylen Brown,AST,5.5,FanDuel,8.0,0.94,0.716,39.1,OVER,Starter,Washington Wizards @ Boston Celtics,1.83,0.5,Pending,0,,B,,,,
2026-03-14,Giannis Antetokounmpo,PTS,27.5,FanDuel,23.1,0.87,0.689,35.5,UNDER,Starter,Milwaukee Bucks @ Atlanta Hawks,1.94,0.5,Pending,0,,B,,,,
2026-03-14,Carlton Carrington,AST,3.5,BetMGM,5.8,0.9,0.687,36.8,OVER,Starter,Washington Wizards @ Boston Celtics,1.87,0.5,Pending,0,,B,,,,
2026-03-14,Kon Knueppel,PTS,18.5,Bovada,24.5,0.8,0.684,32.6,OVER,Starter,Charlotte Hornets @ San Antonio Spurs,2.1,0.5,Pending,0,,B,,,,
2026-03-14,Wendell Carter Jr,PTS,11.5,Bovada,15.3,0.8,0.634,30.9,OVER,Starter,Orlando Magic @ Miami Heat,2.05,0.5,Pending,0,,B,,,,
2026-03-14,Precious Achiuwa,REB,5.5,FanDuel,8.4,0.91,0.581,33.4,OVER,Rotation,Sacramento Kings @ Los Angeles Clippers,1.74,0.5,Pending,0,,B,,,,
2026-03-14,C.J. McCollum,REB,3.5,BetMGM,4.9,0.71,0.519,24.1,OVER,Starter,Milwaukee Bucks @ Atlanta Hawks,2.15,0.0,Pending,0,,C,,,,
2026-03-14,Dyson Daniels,REB,6.5,Caesars,8.7,0.84,0.502,28.2,OVER,Starter,Milwaukee Bucks @ Atlanta Hawks,1.78,0.5,Pending,0,,B,,,,
