date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-04-03,Indiana Pacers @ Charlotte Hornets,SPREAD,Pacers +16.0,16.0,Indiana Pacers by 6.4,9.6,FanDuel,1.91,0.0,Pending,0,,0.9092,0.0908,-0.82,-1.21,,C,27.2,support,0.2718,PASS,false,NBA wager: Indiana Pacers @ Charlotte Hornets — Pacers +16.0 — FanDuel
2026-04-03,Indiana Pacers @ Charlotte Hornets,TOTAL,UNDER 234.0,234.0,219.1,14.9,FanDuel,1.91,0.0,Pending,0,,0.9092,0.0908,-0.82,-1.21,,C,27.2,support,0.2718,PASS,false,NBA wager: Indiana Pacers @ Charlotte Hornets — UNDER 234.0 — FanDuel
2026-04-03,Minnesota Timberwolves @ Philadelphia 76ers,TOTAL,OVER 233.5,233.5,237.6,4.1,Caesars,1.91,0.0,Pending,0,,0.8802,0.1198,30.55,-32.07,,C,14.0,abstain,0.1404,PASS,false,NBA wager: Minnesota Timberwolves @ Philadelphia 76ers — OVER 233.5 — Caesars
2026-04-03,Atlanta Hawks @ Brooklyn Nets,SPREAD,Nets +17.0,17.0,Brooklyn Nets by 7.7,9.3,Fanatics,1.91,0.0,Pending,0,,0.3774,0.6226,29.4,-32.08,,C,53.5,support,0.5345,PASS,false,NBA wager: Atlanta Hawks @ Brooklyn Nets — Nets +17.0 — Fanatics
2026-04-03,Chicago Bulls @ New York Knicks,MONEYLINE,New York Knicks ML,,96.9% win prob,6.0,DraftKings,1.1,0.0,Pending,0,,0.9694,0.0306,6.03,-9.44,New York Knicks ML,C,7.5,abstain,0.0750,PASS,false,NBA wager: Chicago Bulls @ New York Knicks — New York Knicks ML — DraftKings
2026-04-03,Chicago Bulls @ New York Knicks,SPREAD,Bulls +14.0,14.0,Chicago Bulls by 10.9,3.1,Caesars,1.91,0.0,Pending,0,,0.9694,0.0306,6.03,-9.44,New York Knicks ML,C,22.5,support,0.2254,PASS,false,NBA wager: Chicago Bulls @ New York Knicks — Bulls +14.0 — Caesars
2026-04-03,Chicago Bulls @ New York Knicks,TOTAL,UNDER 237.5,237.5,232.8,4.7,Caesars,1.95,0.0,Pending,0,,0.9694,0.0306,6.03,-9.44,New York Knicks ML,C,22.5,support,0.2254,PASS,false,NBA wager: Chicago Bulls @ New York Knicks — UNDER 237.5 — Caesars
2026-04-03,Boston Celtics @ Milwaukee Bucks,SPREAD,Bucks +17.5,17.5,Milwaukee Bucks by 0.6,18.1,Bovada,1.87,0.0,Pending,0,,0.7459,0.2541,65.89,-68.93,,C,53.5,support,0.5345,PASS,false,NBA wager: Boston Celtics @ Milwaukee Bucks — Bucks +17.5 — Bovada
2026-04-03,Utah Jazz @ Houston Rockets,SPREAD,Jazz +17.0,17.0,Utah Jazz by 11.2,5.8,Fanatics,1.91,0.0,Pending,0,,0.9717,0.0283,3.71,-6.06,,C,22.5,support,0.2254,PASS,false,NBA wager: Utah Jazz @ Houston Rockets — Jazz +17.0 — Fanatics
2026-04-03,Toronto Raptors @ Memphis Grizzlies,SPREAD,Grizzlies +13.5,13.5,Memphis Grizzlies by 0.2,13.3,Caesars,1.91,0.0,Pending,0,,0.7136,0.2864,58.59,-60.64,,C,53.5,support,0.5345,PASS,false,NBA wager: Toronto Raptors @ Memphis Grizzlies — Grizzlies +13.5 — Caesars
2026-04-03,Toronto Raptors @ Memphis Grizzlies,TOTAL,OVER 233.5,233.5,242.6,9.1,Caesars,1.91,0.0,Pending,0,,0.7136,0.2864,58.59,-60.64,,C,53.5,support,0.5345,PASS,false,NBA wager: Toronto Raptors @ Memphis Grizzlies — OVER 233.5 — Caesars
2026-04-03,Orlando Magic @ Dallas Mavericks,SPREAD,Mavericks +6.5,6.5,Dallas Mavericks by 3.1,9.6,Fanatics,1.91,0.5,Pending,0,,0.8305,0.1695,52.56,-54.48,,B,73.1,support,0.7309,B,true,NBA wager: Orlando Magic @ Dallas Mavericks — Mavericks +6.5 — Fanatics
2026-04-03,New Orleans Pelicans @ Sacramento Kings,TOTAL,UNDER 234.5,234.5,226.8,7.7,BetOnline.ag,1.91,0.0,Pending,0,,0.4647,0.5353,11.75,-14.04,,C,-6.7,abstain,-0.0671,PASS,false,NBA wager: New Orleans Pelicans @ Sacramento Kings — UNDER 234.5 — BetOnline.ag
