date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-06,Stephon Castle,AST,8.5,FanDuel,10.4,0.8,0.729,43.2,OVER,Starter,Philadelphia 76ers @ San Antonio Spurs,2.16,0.0,Pending,0,,C,support,0.4321,PASS,false,NBA wager: Philadelphia 76ers @ San Antonio Spurs — Stephon Castle OVER 8.5 AST — FanDuel
2026-04-06,Nickeil Alexander-Walker,PTS,19.5,FanDuel,23.4,0.8,0.595,75.7,OVER,Starter,New York Knicks @ Atlanta Hawks,2.0,1.0,Pending,0,,A,support,0.7566,A,true,NBA wager: New York Knicks @ Atlanta Hawks — Nickeil Alexander-Walker OVER 19.5 PTS — FanDuel
2026-04-06,Dominick Barlow,REB,3.5,FanDuel,6.4,0.81,0.595,57.7,OVER,Rotation,Philadelphia 76ers @ San Antonio Spurs,1.96,0.0,Pending,0,,C,support,0.5771,C,false,NBA wager: Philadelphia 76ers @ San Antonio Spurs — Dominick Barlow OVER 3.5 REB — FanDuel
2026-04-06,Max Strus,REB,4.5,Fanatics,6.6,0.86,0.547,30.0,OVER,Rotation,Cleveland Cavaliers @ Memphis Grizzlies,1.8,0.0,Pending,0,,C,support,0.3002,PASS,false,NBA wager: Cleveland Cavaliers @ Memphis Grizzlies — Max Strus OVER 4.5 REB — Fanatics
2026-04-06,VJ Edgecombe,PTS,12.5,DraftKings,20.6,0.78,0.53,56.6,OVER,Starter,Philadelphia 76ers @ San Antonio Spurs,1.95,0.0,Pending,0,,C,support,0.5660,C,false,NBA wager: Philadelphia 76ers @ San Antonio Spurs — VJ Edgecombe OVER 12.5 PTS — DraftKings
2026-04-06,Christian Braun,PTS,12.5,Bovada,16.5,0.75,0.529,75.4,OVER,Starter,Portland Trail Blazers @ Denver Nuggets,2.05,1.0,Pending,0,,A,support,0.7540,A,true,NBA wager: Portland Trail Blazers @ Denver Nuggets — Christian Braun OVER 12.5 PTS — Bovada
2026-04-06,Joel Embiid,3PTM,1.5,BetMGM,2.2,0.72,0.515,58.1,OVER,Starter,Philadelphia 76ers @ San Antonio Spurs,2.1,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Philadelphia 76ers @ San Antonio Spurs — Joel Embiid OVER 1.5 3PTM — BetMGM
2026-04-06,Devin Vassell,AST,2.5,DraftKings,3.2,0.72,0.486,58.1,OVER,Starter,Philadelphia 76ers @ San Antonio Spurs,2.05,0.0,Pending,0,,C,support,0.5815,C,false,NBA wager: Philadelphia 76ers @ San Antonio Spurs — Devin Vassell OVER 2.5 AST — DraftKings
2026-04-06,C.J. McCollum,AST,3.5,BetRivers,5.5,0.81,0.45,56.1,OVER,Starter,New York Knicks @ Atlanta Hawks,1.8,0.0,Pending,0,,C,support,0.5612,C,false,NBA wager: New York Knicks @ Atlanta Hawks — C.J. McCollum OVER 3.5 AST — BetRivers
2026-04-06,Josh Hart,AST,4.5,BetMGM,3.8,0.73,0.433,76.3,UNDER,Starter,New York Knicks @ Atlanta Hawks,1.95,1.0,Pending,0,,A,support,0.7627,A,true,NBA wager: New York Knicks @ Atlanta Hawks — Josh Hart UNDER 4.5 AST — BetMGM
