date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade
2026-03-13,Tari Eason,PTS,11.5,DraftKings,6.4,0.94,0.861,43.7,UNDER,Rotation,New Orleans Pelicans @ Houston Rockets,1.97,0.5,Win,0.48,,B
2026-03-13,Isaiah Collier,AST,8.5,DraftKings,6.3,0.85,0.75,36.2,UNDER,Rotation,Utah Jazz @ Portland Trail Blazers,2.07,0.5,Loss,-0.5,,B
2026-03-13,Jaylen Wells,PTS,12.5,BetRivers,18.4,0.86,0.727,36.4,OVER,Starter,Memphis Grizzlies @ Detroit Pistons,2.0,0.5,Void,0,,B
2026-03-13,Tari Eason,PTS,12.5,Bovada,6.4,0.97,0.691,39.7,UNDER,Rotation,New Orleans Pelicans @ Houston Rockets,1.74,0.5,Win,0.37,,B
2026-03-13,Jaylen Wells,PTS,11.5,BetOnline.ag,18.4,0.9,0.63,34.8,OVER,Starter,Memphis Grizzlies @ Detroit Pistons,1.81,0.5,Void,0,,B
2026-03-13,Cooper Flagg,AST,4.5,FanDuel,5.7,0.75,0.612,28.6,OVER,Starter,Cleveland Cavaliers @ Dallas Mavericks,2.14,0.5,Win,0.57,,B
2026-03-13,Isaiah Collier,AST,9.5,BetRivers,6.3,0.93,0.579,34.1,UNDER,Rotation,Utah Jazz @ Portland Trail Blazers,1.7,0.5,Win,0.35,,B
2026-03-13,Jeremiah Fears,AST,2.5,BetRivers,3.8,0.76,0.576,27.7,OVER,Rotation,New Orleans Pelicans @ Houston Rockets,2.08,0.5,Loss,-0.5,,B
2026-03-13,G.G. Jackson,REB,4.5,BetOnline.ag,6.8,0.78,0.566,28.3,OVER,Rotation,Memphis Grizzlies @ Detroit Pistons,2.0,0.5,Pending,0,,B
2026-03-13,Derik Queen,REB,4.5,FanDuel,6.5,0.75,0.56,26.9,OVER,Rotation,New Orleans Pelicans @ Houston Rockets,2.08,0.5,Loss,-0.5,,B
