date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,line_movement_flag,sharp_flag,divergence_flag,conflict_flag
2026-04-07,Chicago Bulls @ Washington Wizards,SPREAD,Wizards +6.0,6.0,Washington Wizards by 3.2,9.2,Caesars,1.91,0.5,Loss,-0.5,,0.8316,0.1684,49.26,-52.12,,B,9.2,—,—,—,—
2026-04-07,Chicago Bulls @ Washington Wizards,TOTAL,OVER 251.0,251.0,254.8,3.8,Caesars,1.91,0.0,Loss,-0.0,,0.8316,0.1684,49.26,-52.12,,C,3.8,—,—,—,—
2026-04-07,Minnesota Timberwolves @ Indiana Pacers,SPREAD,Pacers +12.5,12.5,Indiana Pacers by 2.7,15.2,Caesars,1.91,1.0,Loss,-1.0,,0.8189,0.1811,67.08,-69.61,,A,15.2,—,—,—,—
2026-04-07,Milwaukee Bucks @ Brooklyn Nets,TOTAL,OVER 220.0,220.0,223.5,3.5,LowVig.ag,1.88,0.0,Loss,-0.0,,0.747,0.253,29.25,-32.17,,C,3.5,—,—,—,—
2026-04-07,Miami Heat @ Toronto Raptors,TOTAL,OVER 240.5,240.5,249.0,8.5,Caesars,1.91,0.5,Loss,-0.5,,0.8429,0.1571,30.53,-33.07,,B,8.5,—,—,—,—
2026-04-07,Utah Jazz @ New Orleans Pelicans,MONEYLINE,New Orleans Pelicans ML,,97.5% win prob,12.0,FanDuel,1.17,0.0,Win,0.0,,0.9746,0.0254,11.99,-15.64,New Orleans Pelicans ML,C,12.0,—,—,—,—
2026-04-07,Utah Jazz @ New Orleans Pelicans,TOTAL,UNDER 242.5,242.5,224.7,17.8,Bovada,1.91,1.0,Loss,-1.0,,0.9746,0.0254,11.99,-15.64,New Orleans Pelicans ML,A,17.8,—,—,—,—
2026-04-07,Sacramento Kings @ Golden State Warriors,MONEYLINE,Golden State Warriors ML,,96.3% win prob,6.2,FanDuel,1.11,0.0,Win,0.0,,0.9626,0.0374,6.17,-8.26,Golden State Warriors ML,C,6.2,—,—,—,—
2026-04-07,Sacramento Kings @ Golden State Warriors,SPREAD,Kings +14.0,14.0,Sacramento Kings by 10.1,3.9,BetRivers,1.91,0.0,Win,0.0,,0.9626,0.0374,6.17,-8.26,Golden State Warriors ML,C,3.9,—,—,—,—
2026-04-07,Dallas Mavericks @ Los Angeles Clippers,SPREAD,Mavericks +11.5,11.5,Dallas Mavericks by 5.4,6.1,Caesars,1.91,0.5,Loss,-0.5,,0.8888,0.1112,3.41,-6.27,,B,6.1,—,—,—,—
2026-04-07,Oklahoma City Thunder @ Los Angeles Lakers,SPREAD,Lakers +17.0,17.0,Los Angeles Lakers by 0.8,16.2,Fanatics,1.91,1.0,Loss,-1.0,,0.691,0.309,60.76,-63.44,,A,16.2,—,—,—,—
2026-04-07,Oklahoma City Thunder @ Los Angeles Lakers,TOTAL,OVER 222.5,222.5,229.2,6.7,Fanatics,1.91,0.5,Loss,-0.5,,0.691,0.309,60.76,-63.44,,B,6.7,—,—,—,—
2026-04-07,Houston Rockets @ Phoenix Suns,SPREAD,Rockets +1.0,1.0,Houston Rockets by 3.1,4.1,Bovada,1.87,0.0,Win,0.0,,0.5893,0.4107,6.57,-9.69,,C,4.1,—,—,—,—
