date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-04-10,Cleveland Cavaliers @ Atlanta Hawks,MONEYLINE,Cleveland Cavaliers ML,,35.5% win prob,9.5,LowVig.ag,3.85,0.0,Loss,-0.0,,0.645,0.355,-12.42,9.52,Cleveland Cavaliers ML,C,60.0,support,0.5996,C,false,NBA wager: Cleveland Cavaliers @ Atlanta Hawks — Cleveland Cavaliers ML — LowVig.ag
2026-04-10,Cleveland Cavaliers @ Atlanta Hawks,SPREAD,Cavaliers +8.0,8.0,Cleveland Cavaliers by 1.8,9.8,Fanatics,1.91,1.0,Loss,-1.0,,0.645,0.355,-12.42,9.52,Cleveland Cavaliers ML,A,91.3,support,0.9125,A,true,NBA wager: Cleveland Cavaliers @ Atlanta Hawks — Cavaliers +8.0 — Fanatics
2026-04-10,Detroit Pistons @ Charlotte Hornets,SPREAD,Hornets -5.5,-5.5,Charlotte Hornets by 12.1,6.6,DraftKings,1.89,0.0,Loss,-0.0,,0.9776,0.0224,31.53,-34.12,,C,60.3,support,0.6032,C,false,NBA wager: Detroit Pistons @ Charlotte Hornets — Hornets -5.5 — DraftKings
2026-04-10,Miami Heat @ Washington Wizards,SPREAD,Wizards +17.5,17.5,Washington Wizards by 5.9,11.6,Fanatics,1.91,0.0,Loss,-0.0,,0.4593,0.5407,38.08,-40.27,,C,46.1,support,0.4613,PASS,false,NBA wager: Miami Heat @ Washington Wizards — Wizards +17.5 — Fanatics
2026-04-10,Miami Heat @ Washington Wizards,TOTAL,OVER 246.5,246.5,251.3,4.8,Fanatics,1.91,0.0,Win,0.0,,0.4593,0.5407,38.08,-40.27,,C,10.8,abstain,0.1078,PASS,false,NBA wager: Miami Heat @ Washington Wizards — OVER 246.5 — Fanatics
2026-04-10,New Orleans Pelicans @ Boston Celtics,SPREAD,Pelicans +17.0,17.0,New Orleans Pelicans by 2.5,14.5,Caesars,1.91,0.0,Loss,-0.0,,0.8102,0.1898,-13.32,11.29,,C,46.1,support,0.4613,PASS,false,NBA wager: New Orleans Pelicans @ Boston Celtics — Pelicans +17.0 — Caesars
2026-04-10,Philadelphia 76ers @ Indiana Pacers,SPREAD,Pacers +15.0,15.0,Indiana Pacers by 0.4,14.6,Fanatics,1.91,0.0,Win,0.0,,0.7041,0.2959,58.98,-62.15,,C,46.1,support,0.4613,PASS,false,NBA wager: Philadelphia 76ers @ Indiana Pacers — Pacers +15.0 — Fanatics
2026-04-10,Philadelphia 76ers @ Indiana Pacers,TOTAL,OVER 233.0,233.0,241.0,8.0,Fanatics,1.91,0.0,Loss,-0.0,,0.7041,0.2959,58.98,-62.15,,C,46.1,support,0.4613,PASS,false,NBA wager: Philadelphia 76ers @ Indiana Pacers — OVER 233.0 — Fanatics
2026-04-10,Toronto Raptors @ New York Knicks,MONEYLINE,Toronto Raptors ML,,41.2% win prob,7.3,BetUS,2.95,0.0,Loss,-0.0,,0.5876,0.4124,-10.21,7.34,Toronto Raptors ML,C,17.2,support,0.1724,PASS,false,NBA wager: Toronto Raptors @ New York Knicks — Toronto Raptors ML — BetUS
2026-04-10,Toronto Raptors @ New York Knicks,SPREAD,Raptors +5.5,5.5,Toronto Raptors by 3.1,8.6,Caesars,1.91,0.5,Loss,-0.5,,0.5876,0.4124,-10.21,7.34,Toronto Raptors ML,B,69.2,support,0.6915,B,true,NBA wager: Toronto Raptors @ New York Knicks — Raptors +5.5 — Caesars
2026-04-10,Toronto Raptors @ New York Knicks,TOTAL,OVER 219.5,219.5,225.6,6.1,Caesars,1.95,0.0,Loss,-0.0,,0.5876,0.4124,-10.21,7.34,Toronto Raptors ML,C,33.2,support,0.3319,PASS,false,NBA wager: Toronto Raptors @ New York Knicks — OVER 219.5 — Caesars
2026-04-10,Brooklyn Nets @ Milwaukee Bucks,MONEYLINE,Milwaukee Bucks ML,,92.7% win prob,10.8,LowVig.ag,1.22,0.0,Win,0.0,,0.9273,0.0727,10.76,-12.73,Milwaukee Bucks ML,C,30.5,support,0.3046,PASS,false,NBA wager: Brooklyn Nets @ Milwaukee Bucks — Milwaukee Bucks ML — LowVig.ag
2026-04-10,Orlando Magic @ Chicago Bulls,SPREAD,Bulls +15.0,15.0,Chicago Bulls by 9.0,6.0,Fanatics,1.91,0.0,Loss,-0.0,,0.3208,0.6792,20.32,-22.99,,C,-6.7,abstain,-0.0671,PASS,false,NBA wager: Orlando Magic @ Chicago Bulls — Bulls +15.0 — Fanatics
2026-04-10,Orlando Magic @ Chicago Bulls,TOTAL,UNDER 242.5,242.5,233.6,8.9,Fanatics,1.91,0.0,Win,0.0,,0.3208,0.6792,20.32,-22.99,,C,27.2,support,0.2718,PASS,false,NBA wager: Orlando Magic @ Chicago Bulls — UNDER 242.5 — Fanatics
2026-04-10,Dallas Mavericks @ San Antonio Spurs,SPREAD,Mavericks +18.5,18.5,Dallas Mavericks by 6.3,12.2,DraftKings,1.93,0.5,Loss,-0.5,,0.9081,0.0919,-3.53,0.86,,B,71.4,support,0.7144,B,true,NBA wager: Dallas Mavericks @ San Antonio Spurs — Mavericks +18.5 — DraftKings
2026-04-10,Oklahoma City Thunder @ Denver Nuggets,SPREAD,Thunder +12.0,12.0,Oklahoma City Thunder by 2.8,9.2,Fanatics,1.91,0.5,Loss,-0.5,,0.8207,0.1793,-2.67,0.53,,B,71.4,support,0.7144,B,true,NBA wager: Oklahoma City Thunder @ Denver Nuggets — Thunder +12.0 — Fanatics
2026-04-10,Oklahoma City Thunder @ Denver Nuggets,TOTAL,OVER 231.5,231.5,236.7,5.2,Fanatics,1.91,0.0,Win,0.0,,0.8207,0.1793,-2.67,0.53,,C,58.8,support,0.5880,C,false,NBA wager: Oklahoma City Thunder @ Denver Nuggets — OVER 231.5 — Fanatics
