date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury,grade,council_recommendation,council_score,council_grade,publish,reason
2026-04-27,Ajay Mitchell,PTS,15.5,BetMGM,10.4,0.95,0.85,65.3,UNDER,Rotation,Oklahoma City Thunder @ Phoenix Suns,1.95,0.5,Loss,-0.5,,B,support,0.6529,B,true,NBA wager: Oklahoma City Thunder @ Phoenix Suns — Ajay Mitchell UNDER 15.5 PTS — BetMGM
2026-04-27,Mike Conley,AST,3.5,DraftKings,1.9,0.83,0.692,66.3,UNDER,Rotation,Minnesota Timberwolves @ Denver Nuggets,2.05,0.5,Loss,-0.5,,B,support,0.6625,B,true,NBA wager: Minnesota Timberwolves @ Denver Nuggets — Mike Conley UNDER 3.5 AST — DraftKings
2026-04-27,Isaiah Joe,PTS,7.5,Bovada,12.0,0.74,0.624,51.0,OVER,Rotation,Oklahoma City Thunder @ Phoenix Suns,2.2,0.0,Loss,-0.0,,C,support,0.5102,PASS,false,NBA wager: Oklahoma City Thunder @ Phoenix Suns — Isaiah Joe OVER 7.5 PTS — Bovada
2026-04-27,Bruce Brown,PTS,6.5,BetOnline.ag,9.3,0.8,0.589,66.3,OVER,Rotation,Minnesota Timberwolves @ Denver Nuggets,1.98,0.5,Win,0.49,,B,support,0.6625,B,true,NBA wager: Minnesota Timberwolves @ Denver Nuggets — Bruce Brown OVER 6.5 PTS — BetOnline.ag
2026-04-27,Anthony Black,REB,2.5,BetMGM,4.7,0.88,0.575,65.3,OVER,Rotation,Detroit Pistons @ Orlando Magic,1.8,0.5,Loss,-0.5,,B,support,0.6529,B,true,NBA wager: Detroit Pistons @ Orlando Magic — Anthony Black OVER 2.5 REB — BetMGM
2026-04-27,Duncan Robinson,PTS,11.5,BetRivers,14.1,0.72,0.565,51.0,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.18,0.0,Loss,-0.0,,C,support,0.5102,PASS,false,NBA wager: Detroit Pistons @ Orlando Magic — Duncan Robinson OVER 11.5 PTS — BetRivers
2026-04-27,Cason Wallace,AST,2.5,BetOnline.ag,1.4,0.91,0.549,65.3,UNDER,Rotation,Oklahoma City Thunder @ Phoenix Suns,1.71,0.5,Loss,-0.5,,B,support,0.6529,B,true,NBA wager: Oklahoma City Thunder @ Phoenix Suns — Cason Wallace UNDER 2.5 AST — BetOnline.ag
2026-04-27,Isaiah Stewart II,REB,3.5,BetOnline.ag,4.2,0.65,0.42,47.3,OVER,Rotation,Detroit Pistons @ Orlando Magic,2.17,0.0,Loss,-0.0,,C,support,0.4726,PASS,false,NBA wager: Detroit Pistons @ Orlando Magic — Isaiah Stewart II OVER 3.5 REB — BetOnline.ag
2026-04-27,Wendell Carter Jr,REB,7.5,BetRivers,6.4,0.69,0.414,66.3,UNDER,Starter,Detroit Pistons @ Orlando Magic,2.05,0.5,Loss,-0.5,,B,support,0.6625,B,true,NBA wager: Detroit Pistons @ Orlando Magic — Wendell Carter Jr UNDER 7.5 REB — BetRivers
2026-04-27,Chet Holmgren,3PTM,1.5,DraftKings,2.0,0.64,0.376,47.3,OVER,Starter,Oklahoma City Thunder @ Phoenix Suns,2.15,0.0,Win,0.0,,C,support,0.4726,PASS,false,NBA wager: Oklahoma City Thunder @ Phoenix Suns — Chet Holmgren OVER 1.5 3PTM — DraftKings
