date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes
2026-03-12,Philadelphia 76ers @ Detroit Pistons,SPREAD,76ers +15.5,15.5,Philadelphia 76ers -8.1,7.4,FanDuel,1.91,0.5,Pending,0,
2026-03-12,Philadelphia 76ers @ Detroit Pistons,TOTAL,OVER 221.5,221.5,225.3,3.8,FanDuel,1.91,0.0,Pending,0,
2026-03-12,Phoenix Suns @ Indiana Pacers,SPREAD,Pacers +8.5,8.5,Indiana Pacers -3.5,5.0,Fanatics,1.91,0.5,Pending,0,
2026-03-12,Phoenix Suns @ Indiana Pacers,TOTAL,OVER 224.0,224.0,228.6,4.6,Fanatics,1.91,0.0,Pending,0,
2026-03-12,Washington Wizards @ Orlando Magic,SPREAD,Wizards +14.0,14.0,Washington Wizards -7.5,6.5,FanDuel,1.91,0.5,Pending,0,
2026-03-12,Washington Wizards @ Orlando Magic,TOTAL,UNDER 234.0,234.0,228.7,5.3,FanDuel,1.91,0.5,Pending,0,
2026-03-12,Brooklyn Nets @ Atlanta Hawks,SPREAD,Nets +15.5,15.5,Brooklyn Nets -10.0,5.5,DraftKings,1.91,0.5,Pending,0,
2026-03-12,Brooklyn Nets @ Atlanta Hawks,TOTAL,UNDER 226.5,226.5,221.7,4.8,DraftKings,1.91,0.0,Pending,0,
2026-03-12,Milwaukee Bucks @ Miami Heat,TOTAL,UNDER 234.5,234.5,219.8,14.7,Caesars,1.91,1.0,Pending,0,
2026-03-12,Dallas Mavericks @ Memphis Grizzlies,SPREAD,Grizzlies +5.0,5.0,Memphis Grizzlies -1.5,3.5,Caesars,1.91,0.0,Pending,0,
2026-03-12,Dallas Mavericks @ Memphis Grizzlies,TOTAL,UNDER 239.5,239.5,225.9,13.6,Caesars,1.91,1.0,Pending,0,
2026-03-12,Denver Nuggets @ San Antonio Spurs,TOTAL,UNDER 239.0,239.0,234.3,4.7,LowVig.ag,1.91,0.0,Pending,0,
2026-03-12,Boston Celtics @ Oklahoma City Thunder,SPREAD,Celtics +6.5,6.5,Boston Celtics -1.1,5.4,Caesars,1.91,0.5,Pending,0,
2026-03-12,Boston Celtics @ Oklahoma City Thunder,TOTAL,UNDER 217.0,217.0,213.7,3.3,Caesars,1.91,0.0,Pending,0,
2026-03-12,Chicago Bulls @ Los Angeles Lakers,TOTAL,UNDER 238.5,238.5,216.9,21.6,BetUS,1.91,1.0,Pending,0,
