date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate
2026-03-17,Miami Heat @ Charlotte Hornets,TOTAL,OVER 234.5,234.5,241.3,6.8,DraftKings,,0.5,Pending,0,,0.8843,0.1157,21.76,-23.51,
2026-03-17,Detroit Pistons @ Washington Wizards,SPREAD,Wizards +18.0,18.0,Washington Wizards -14.6,3.4,MyBookie.ag,,0.0,Pending,0,,0.1288,0.8712,5.74,-7.22,
2026-03-17,Oklahoma City Thunder @ Orlando Magic,SPREAD,Magic +9.5,9.5,Orlando Magic -2.1,7.4,DraftKings,,0.5,Pending,0,,0.6331,0.3669,41.57,-43.95,
2026-03-17,Indiana Pacers @ New York Knicks,MONEYLINE,New York Knicks ML,,98.7% win prob,9.4,BetUS,1.12,0.5,Pending,0,,0.9872,0.0128,9.44,-11.88,New York Knicks ML
2026-03-17,Indiana Pacers @ New York Knicks,TOTAL,OVER 221.5,221.5,227.0,5.5,BetUS,,0.5,Pending,0,,0.9872,0.0128,9.44,-11.88,New York Knicks ML
2026-03-17,Cleveland Cavaliers @ Milwaukee Bucks,SPREAD,Bucks +10.5,10.5,Milwaukee Bucks -1.6,8.9,Caesars,,0.5,Pending,0,,0.6557,0.3443,44.52,-48.21,
2026-03-17,Cleveland Cavaliers @ Milwaukee Bucks,TOTAL,UNDER 228.5,228.5,217.8,10.7,Caesars,,1.0,Pending,0,,0.6557,0.3443,44.52,-48.21,
2026-03-17,Phoenix Suns @ Minnesota Timberwolves,TOTAL,UNDER 221.5,221.5,205.2,16.3,Caesars,,1.0,Pending,0,,0.8306,0.1694,23.18,-24.73,
2026-03-17,Philadelphia 76ers @ Denver Nuggets,SPREAD,76ers +15.5,15.5,Philadelphia 76ers -3.6,11.9,Caesars,,1.0,Pending,0,,0.8452,0.1548,-7.22,4.49,
2026-03-17,Philadelphia 76ers @ Denver Nuggets,TOTAL,OVER 236.0,236.0,244.9,8.9,Caesars,,0.5,Pending,0,,0.8452,0.1548,-7.22,4.49,
2026-03-17,San Antonio Spurs @ Sacramento Kings,SPREAD,Kings +13.5,13.5,Sacramento Kings -6.2,7.3,Bovada,,0.5,Pending,0,,0.4432,0.5568,31.16,-33.61,
