date,player,market,line,book,projection,prob,ev,edge_pct,bet,role,game,odds,stake,result,profit,injury
2026-04-21,Kevin Durant,AST,4.5,FanDuel,7.0,0.89,0.911,42.6,OVER,Starter,Houston Rockets @ Los Angeles Lakers,2.14,0.25,Pending,0,
2026-04-21,Derrick White,PTS,13.5,FanDuel,9.9,0.88,0.75,37.9,UNDER,Starter,Philadelphia 76ers @ Boston Celtics,1.98,0.25,Pending,0,
2026-04-21,Jabari Smith Jr,PTS,14.5,FanDuel,18.5,0.89,0.703,36.8,OVER,Starter,Houston Rockets @ Los Angeles Lakers,1.91,0.25,Pending,0,
2026-04-21,Dylan Harper,PTS,9.5,Bovada,12.9,0.83,0.695,33.9,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,2.05,0.25,Pending,0,
2026-04-21,Robert Williams,REB,5.5,BetOnline.ag,7.6,0.86,0.609,32.7,OVER,Rotation,Portland Trail Blazers @ San Antonio Spurs,1.86,0.25,Pending,0,
2026-04-21,Payton Pritchard,PTS,14.5,Bovada,20.4,0.78,0.591,28.8,OVER,Starter,Philadelphia 76ers @ Boston Celtics,2.05,0.25,Pending,0,
2026-04-21,Devin Vassell,REB,3.5,BetRivers,5.1,0.73,0.562,26.2,OVER,Starter,Portland Trail Blazers @ San Antonio Spurs,2.14,0.25,Pending,0,
2026-04-21,Quentin Grimes,REB,2.5,BetMGM,3.6,0.86,0.556,30.9,OVER,Rotation,Philadelphia 76ers @ Boston Celtics,1.8,0.25,Pending,0,
2026-04-21,Paul George,REB,5.5,BetMGM,4.7,0.9,0.542,31.7,UNDER,Starter,Philadelphia 76ers @ Boston Celtics,1.71,0.25,Pending,0,
2026-04-21,Stephon Castle,AST,7.5,Caesars,9.1,0.75,0.538,26.1,OVER,Starter,Portland Trail Blazers @ San Antonio Spurs,2.06,0.25,Pending,0,
